a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,class
1,2,3,4,5,1,2,3,4,5,0.11834,0.43097,0.68201,1.7585,2.4218,0.2201,0.50265,0.76703,1.8287,2.4821,1
1,2,3,4,5,1,2,3,4,5,0.12198,0.45116,1.2854,1.8468,1.897,0.48175,0.52982,1.3049,1.5591,1.7158,1
1,2,3,4,5,1,2,3,4,5,0.1222,0.41299,0.44289,0.90606,1.6749,0.095719,0.51635,0.54651,0.98239,1.6822,1
1,2,3,4,5,1,2,3,4,5,0.12252,0.47416,0.49052,0.87466,2.6403,0.26277,0.26727,0.38565,0.79812,2.4414,2
1,2,3,4,5,1,2,3,4,5,0.12281,0.16425,0.93803,1.3594,1.6204,0.52112,0.58612,1.0277,1.3672,1.6207,2
1,2,3,4,5,1,2,3,4,5,0.12418,0.18786,0.30728,0.31897,2.4055,0.26412,0.27645,0.37263,0.39265,2.4701,2
1,2,3,4,5,1,2,3,4,5,0.12446,0.67476,0.69405,0.7764,1.4041,0.22296,0.45981,0.51336,0.73005,1.3267,1
1,2,3,4,5,1,2,3,4,5,0.12458,0.35172,1.162,1.5336,6.159,0.46189,0.49382,0.96941,1.3777,5.9247,1
1,2,3,4,5,1,2,3,4,5,0.12511,0.32911,1.1216,3.6473,7.4968,0.069867,0.33359,1.1545,3.6574,7.4947,1
1,2,3,4,5,1,2,3,4,5,0.1263,0.23407,0.84856,0.85594,2.8849,0.23845,0.31341,0.74826,0.76779,2.7331,1
1,2,3,4,5,1,2,3,4,5,0.12641,0.92027,0.9511,1.7429,2.5138,0.44155,0.8527,0.92022,1.6299,2.3991,2
1,2,3,4,5,1,2,3,4,5,0.12674,0.35889,0.91481,2.0099,3.0053,0.14083,0.40498,0.9136,2.024,3.0353,1
1,2,3,4,5,1,2,3,4,5,0.12732,0.59294,0.94284,2.0445,8.7726,1.0288,1.1354,1.5484,2.3423,8.5217,1
1,2,3,4,5,1,2,3,4,5,0.13093,0.53787,0.90139,3.2793,4.9388,0.16561,0.45979,0.8996,3.3043,4.885,2
1,2,3,4,5,1,2,3,4,5,0.13125,0.96779,1.2639,1.6574,8.1908,0.61292,0.76457,1.1736,1.3786,7.9111,3
1,2,3,4,5,1,2,3,4,5,0.13275,0.68738,0.81315,2.8026,5.0314,0.27962,0.60891,0.83349,2.8328,4.9079,1
1,2,3,4,5,1,2,3,4,5,0.13275,0.41243,0.65942,1.0092,1.5777,0.40006,0.65689,0.88096,1.2034,1.8485,1
1,2,3,4,5,1,2,3,4,5,0.13424,0.55467,1.4744,1.5633,1.8319,0.1482,0.47794,1.415,1.6138,1.8457,1
1,2,3,4,5,1,2,3,4,5,0.13424,0.55751,1.1196,2.1,5.7617,0.23925,0.6396,1.0494,1.9161,5.5356,2
1,2,3,4,5,1,2,3,4,5,0.13649,1.0538,1.1874,1.3514,1.8302,0.29182,0.93039,1.0492,1.3006,1.75,1
1,2,3,4,5,1,2,3,4,5,0.13688,0.27154,0.68962,0.8096,9.5061,0.2924,0.37406,0.84348,0.8838,9.594,2
1,2,3,4,5,1,2,3,4,5,0.13789,0.32637,0.77361,0.93324,1.1176,0.10667,0.39041,0.77199,0.95591,1.1396,1
1,2,3,4,5,1,2,3,4,5,0.13852,0.4723,0.5691,0.98612,3.4813,0.21306,0.51928,0.52724,0.96875,3.4424,2
1,2,3,4,5,1,2,3,4,5,0.13944,0.30127,1.333,9.837,39.341,0.98322,1.0397,1.2937,9.2473,38.727,2
1,2,3,4,5,1,2,3,4,5,0.13958,0.62681,0.89394,1.2257,3.8493,0.52784,0.77432,0.92726,1.3514,3.959,2
1,2,3,4,5,1,2,3,4,5,0.14066,0.14447,0.41245,0.49469,2.3991,0.29537,0.35359,0.60838,0.6334,2.3561,1
1,2,3,4,5,1,2,3,4,5,0.1411,1.0519,2.9461,6.6736,13.299,0.60101,0.8607,2.6514,6.5073,13.05,1
1,2,3,4,5,1,2,3,4,5,0.14168,0.28662,0.40265,0.71809,1.1983,0.16134,0.30891,0.39625,0.68515,1.1452,2
1,2,3,4,5,1,2,3,4,5,0.14168,0.66506,0.91124,4.8948,8.1026,0.53884,0.70289,0.73867,4.467,7.9795,1
1,2,3,4,5,1,2,3,4,5,0.14179,0.34062,0.48469,3.5462,9.5472,0.27184,0.27799,0.60942,3.4833,9.5181,2
1,2,3,4,5,1,2,3,4,5,0.14237,0.38819,0.55829,1.352,4.211,0.38806,0.40602,0.51438,1.3282,4.2362,2
1,2,3,4,5,1,2,3,4,5,0.14279,1.3242,1.7621,4.8617,39.231,0.47967,1.3699,1.5311,4.6845,38.984,1
1,2,3,4,5,1,2,3,4,5,0.14372,0.19731,0.27256,0.60637,3.0959,0.37105,0.38051,0.45568,0.61052,2.9354,5
1,2,3,4,5,1,2,3,4,5,0.14394,0.81852,1.3664,2.788,5.5287,0.40098,0.82975,1.3733,2.7851,5.5241,2
1,2,3,4,5,1,2,3,4,5,0.14677,0.1712,0.36322,0.37934,1.9884,0.37776,0.38284,0.42647,0.60722,1.9596,2
1,2,3,4,5,1,2,3,4,5,0.14808,0.87924,1.989,2.6647,5.9992,0.33112,0.83946,1.9669,2.5748,5.9951,2
1,2,3,4,5,1,2,3,4,5,0.15029,0.94801,1.3633,1.5723,3.1754,0.6284,1.1057,1.5958,1.8091,2.8667,1
1,2,3,4,5,1,2,3,4,5,0.15184,1.7767,3.6924,4.2069,18.618,1.1485,1.5035,3.5924,4.2775,18.278,2
1,2,3,4,5,1,2,3,4,5,0.15299,0.57225,0.58573,0.96363,5.0512,0.30677,0.52946,0.60746,0.89632,5.0703,1
1,2,3,4,5,1,2,3,4,5,0.15326,1.0809,1.9408,2.2536,7.7969,0.16362,1.0746,1.9148,2.1844,7.7448,2
1,2,3,4,5,1,2,3,4,5,0.15472,0.42745,0.57672,0.6714,1.648,0.27899,0.37673,0.55393,0.56822,1.612,1
1,2,3,4,5,1,2,3,4,5,0.1548,0.69746,1.8275,2.1314,25.664,0.13722,0.59852,1.7252,2.0849,25.557,1
1,2,3,4,5,1,2,3,4,5,0.15545,0.46425,0.93814,1.3055,11.17,0.27107,0.54464,0.89561,1.229,11.153,1
1,2,3,4,5,1,2,3,4,5,0.1556,0.57428,1.1735,1.5559,5.792,0.20932,0.46614,0.96299,1.5403,5.6308,1
1,2,3,4,5,1,2,3,4,5,0.15563,0.64975,0.66522,0.68052,2.057,0.31463,0.5362,0.5426,0.65173,1.906,1
1,2,3,4,5,1,2,3,4,5,0.15654,0.29459,0.55525,1.3876,7.8765,0.34164,0.43742,0.51751,1.1403,7.6725,1
1,2,3,4,5,1,2,3,4,5,0.15697,0.22236,0.62331,0.64638,3.2475,0.16059,0.21149,0.64692,0.69268,3.2544,1
1,2,3,4,5,1,2,3,4,5,0.15719,0.17164,0.76512,1.3492,6.6633,0.13121,0.25208,0.71488,1.3608,6.638,1
1,2,3,4,5,1,2,3,4,5,0.15796,0.527,1.072,3.4173,4.0044,0.42816,0.52781,1.0891,3.2925,3.8056,1
1,2,3,4,5,1,2,3,4,5,0.15855,0.62108,0.6528,1.1799,3.9782,0.42641,0.45054,0.4541,1.2047,3.9203,1
1,2,3,4,5,1,2,3,4,5,0.16151,0.4299,0.85372,1.1817,2.533,0.4255,0.53366,0.93481,1.1559,2.3521,1
1,2,3,4,5,1,2,3,4,5,0.16182,0.19189,0.77628,1.4913,1.6869,0.45526,0.48866,0.71255,1.3542,1.5808,1
1,2,3,4,5,1,2,3,4,5,0.16234,0.51049,2.3934,4.7852,5.0346,0.61758,0.67217,2.3035,4.7681,5.0035,2
1,2,3,4,5,1,2,3,4,5,0.16312,0.57211,1.0223,1.6284,3.9214,0.13798,0.60866,1.0398,1.6591,3.9416,1
1,2,3,4,5,1,2,3,4,5,0.16362,0.53983,1.1455,1.1877,6.6073,0.40945,0.63324,1.0914,1.2878,6.4296,2
1,2,3,4,5,1,2,3,4,5,0.16395,1.1071,3.2885,4.0751,11.27,0.48715,0.83138,3.0886,3.946,10.949,2
1,2,3,4,5,1,2,3,4,5,0.16419,1.1237,1.3655,2.9267,5.6966,0.55229,0.99563,1.1085,2.5278,5.4861,2
1,2,3,4,5,1,2,3,4,5,0.16421,0.19266,0.23719,0.58212,1.7657,0.62716,0.65702,0.66938,0.88288,2.2781,2
1,2,3,4,5,1,2,3,4,5,0.1648,0.19507,0.27635,0.35346,2.126,0.14796,0.22116,0.33609,0.38119,2.1436,1
1,2,3,4,5,1,2,3,4,5,0.16486,0.29728,0.44617,0.67614,1.7972,0.19913,0.35402,0.58807,0.79176,1.9224,1
1,2,3,4,5,1,2,3,4,5,0.1649,0.64443,1.0458,2.2536,6.8791,0.14008,0.59063,0.98511,2.2601,6.8753,2
1,2,3,4,5,1,2,3,4,5,0.16514,0.29041,0.44345,0.57036,0.87961,0.17055,0.37453,0.4782,0.58657,0.94863,1
1,2,3,4,5,1,2,3,4,5,0.16538,0.53935,0.76056,2.1186,13.19,0.43484,0.4805,0.79726,1.9041,13.144,1
1,2,3,4,5,1,2,3,4,5,0.16592,0.57522,0.77683,1.0549,1.288,0.26269,0.65079,0.80688,1.1513,1.3911,1
1,2,3,4,5,1,2,3,4,5,0.16643,0.66821,0.95552,2.544,9.4896,0.21372,0.72163,0.85628,2.5191,9.4784,1
1,2,3,4,5,1,2,3,4,5,0.16684,0.26801,0.30186,0.70573,1.8182,0.27637,0.36312,0.44376,0.80698,1.8901,1
1,2,3,4,5,1,2,3,4,5,0.16741,0.41529,2.2415,3.146,8.704,0.9095,1.1526,2.0224,2.7664,8.8986,1
1,2,3,4,5,1,2,3,4,5,0.16835,0.89083,1.106,2.4198,3.6456,0.62724,0.91916,0.92607,2.2534,3.2823,1
1,2,3,4,5,1,2,3,4,5,0.16946,0.3947,0.91596,1.2861,1.4484,0.21584,0.4931,0.95777,1.3218,1.3481,1
1,2,3,4,5,1,2,3,4,5,0.1704,0.31319,0.5833,2.2164,2.9679,0.48381,0.48729,0.6167,2.1524,2.889,1
1,2,3,4,5,1,2,3,4,5,0.17047,0.29669,0.33877,0.40771,0.92597,0.47744,0.77633,0.7934,0.80921,1.2236,1
1,2,3,4,5,1,2,3,4,5,0.17047,0.34207,0.84203,1.5815,4.4679,0.66204,0.68158,1.1388,1.7643,4.7461,2
1,2,3,4,5,1,2,3,4,5,0.17075,0.69984,1.4443,1.9936,24.755,0.40687,0.79378,1.3695,1.8809,24.639,2
1,2,3,4,5,1,2,3,4,5,0.17105,0.26438,0.69626,2.1246,2.9697,1.1281,1.1641,1.259,2.0961,2.5532,2
1,2,3,4,5,1,2,3,4,5,0.17108,0.62198,1.2325,1.2504,1.8075,0.29474,0.50298,1.1588,1.2028,1.6817,1
1,2,3,4,5,1,2,3,4,5,0.17114,0.49658,1.0794,2.0716,3.7864,0.42588,0.56911,0.96267,1.8782,3.4877,2
1,2,3,4,5,1,2,3,4,5,0.17124,0.32049,0.60795,0.88144,1.8654,0.37483,0.49993,0.53835,0.83125,1.9417,3
1,2,3,4,5,1,2,3,4,5,0.17124,0.76329,1.3251,2.4872,2.5744,0.38534,0.76579,1.5918,2.5003,2.8402,1
1,2,3,4,5,1,2,3,4,5,0.17144,0.31686,0.4207,0.50251,2.5247,0.12962,0.24376,0.46442,0.50326,2.555,1
1,2,3,4,5,1,2,3,4,5,0.1718,0.55441,0.80656,2.1042,18.452,0.31185,0.37552,0.60379,2.0065,18.313,1
1,2,3,4,5,1,2,3,4,5,0.17184,0.26144,0.72479,0.90697,1.6487,0.6179,0.79965,0.80377,1.026,1.607,1
1,2,3,4,5,1,2,3,4,5,0.17216,0.33621,1.1883,1.6795,1.8477,0.24727,0.27143,1.1928,1.593,1.7673,2
1,2,3,4,5,1,2,3,4,5,0.17222,0.68688,0.79992,2.6112,4.4454,0.34876,0.5874,0.59193,2.4344,4.175,1
1,2,3,4,5,1,2,3,4,5,0.17224,0.43099,1.2745,1.4263,4.206,0.36975,0.56371,1.4232,1.4534,4.3919,1
1,2,3,4,5,1,2,3,4,5,0.17272,0.49481,0.6725,0.94608,1.103,0.26654,0.42072,0.50231,0.85604,1.1153,3
1,2,3,4,5,1,2,3,4,5,0.17282,0.27133,0.83057,1.0835,4.1816,0.19268,0.3376,0.82683,1.1446,4.1864,1
1,2,3,4,5,1,2,3,4,5,0.17284,0.71085,0.89888,1.4538,1.9483,0.35394,0.8855,1.0407,1.4011,2.0473,1
1,2,3,4,5,1,2,3,4,5,0.17324,0.83128,1.3108,3.4416,18.491,0.15876,1.0327,1.5252,3.5645,18.677,1
1,2,3,4,5,1,2,3,4,5,0.17351,0.43057,0.71583,2.23,14.134,0.30204,0.43291,0.80217,2.3636,14.241,2
1,2,3,4,5,1,2,3,4,5,0.17355,0.53766,2.6228,6.9052,9.7402,0.51504,0.63492,2.4975,6.4556,9.388,1
1,2,3,4,5,1,2,3,4,5,0.17375,0.34976,0.67259,1.0354,1.5623,0.26683,0.37615,0.4299,0.88822,1.2093,1
1,2,3,4,5,1,2,3,4,5,0.17389,0.68982,1.7881,1.998,2.0313,0.30408,0.63634,1.7437,2.1494,2.2135,2
1,2,3,4,5,1,2,3,4,5,0.17412,0.36935,0.50481,1.8648,4.4037,0.30546,0.40622,0.54099,1.7533,4.1401,1
1,2,3,4,5,1,2,3,4,5,0.1743,0.31027,0.92626,5.5229,16.51,0.21152,0.36458,0.97241,5.5353,16.531,1
1,2,3,4,5,1,2,3,4,5,0.17469,0.30346,0.37992,1.5813,5.0413,0.29757,0.46613,0.53515,1.6438,5.0471,2
1,2,3,4,5,1,2,3,4,5,0.17534,0.51959,0.70055,0.90921,12.424,0.25404,0.45559,0.79748,0.85412,12.38,1
1,2,3,4,5,1,2,3,4,5,0.17561,0.35097,0.53676,1.0789,2.2027,0.26131,0.50246,0.68727,1.2591,2.3416,2
1,2,3,4,5,1,2,3,4,5,0.17616,0.22517,0.54438,1.111,1.1247,0.15941,0.25258,0.61147,1.1284,1.1581,1
1,2,3,4,5,1,2,3,4,5,0.17644,0.3538,0.39601,0.43591,7.875,0.52231,0.58451,0.59874,0.61006,7.7773,5
1,2,3,4,5,1,2,3,4,5,0.17669,0.61958,2.1032,4.8631,24.659,0.30559,0.39683,1.9503,4.7021,24.578,1
1,2,3,4,5,1,2,3,4,5,0.17846,0.20672,0.33056,0.52183,10.448,0.38139,0.39052,0.47489,0.64534,10.479,1
1,2,3,4,5,1,2,3,4,5,0.17846,0.4914,1.0998,3.8075,5.3509,0.23254,0.61984,0.93931,3.8029,5.4905,3
1,2,3,4,5,1,2,3,4,5,0.17847,1.4193,1.8616,2.1032,5.1322,0.22793,1.3326,1.851,1.9273,4.9697,2
1,2,3,4,5,1,2,3,4,5,0.17855,0.4186,1.9639,3.0307,4.9107,0.2626,0.57444,2.1137,3.0115,5.0899,1
1,2,3,4,5,1,2,3,4,5,0.17894,2.0792,4.9759,5.9842,12.543,0.28713,2.0933,4.9946,6.0349,12.471,2
1,2,3,4,5,1,2,3,4,5,0.17931,0.20711,0.54669,1.5016,10.401,0.3577,0.40444,0.6965,1.677,10.566,2
1,2,3,4,5,1,2,3,4,5,0.17939,1.0667,1.6861,2.2959,2.4604,0.59873,1.1967,1.6902,2.0399,2.3801,1
1,2,3,4,5,1,2,3,4,5,0.17948,0.38971,0.46874,0.77726,1.6186,0.34104,0.54831,0.63509,0.87916,1.7483,1
1,2,3,4,5,1,2,3,4,5,0.18041,0.66976,0.79733,0.89347,1.4532,0.29732,0.57889,0.73483,0.7469,1.4577,3
1,2,3,4,5,1,2,3,4,5,0.18041,0.43272,1.1936,1.7451,6.0884,1.1137,1.3062,1.4878,2.0019,5.9029,2
1,2,3,4,5,1,2,3,4,5,0.18086,0.32834,0.36905,0.78045,1.7543,0.24703,0.32002,0.40095,0.81411,1.7782,3
1,2,3,4,5,1,2,3,4,5,0.18089,0.39645,0.67783,1.8135,3.6154,0.3187,0.57633,0.71295,1.9474,3.4194,1
1,2,3,4,5,1,2,3,4,5,0.18124,0.91298,1.0355,2.0534,3.7449,0.63046,0.84764,0.9883,1.8227,3.3008,2
1,2,3,4,5,1,2,3,4,5,0.18194,0.21543,0.30498,0.59185,1.5015,0.56823,0.57601,0.65208,0.79821,1.6034,2
1,2,3,4,5,1,2,3,4,5,0.18208,0.18584,0.42058,1.7065,9.4311,0.24429,0.26848,0.52008,1.7281,9.5413,1
1,2,3,4,5,1,2,3,4,5,0.18209,0.5101,1.1981,1.2248,2.5603,0.48118,0.6679,0.91247,1.2802,2.4302,1
1,2,3,4,5,1,2,3,4,5,0.18257,0.39304,0.98007,2.3955,3.433,0.62033,0.69023,1.1668,2.4625,3.5452,1
1,2,3,4,5,1,2,3,4,5,0.18272,0.91911,1.5025,3.337,6.1094,0.68934,0.74759,0.99469,3.1718,5.8575,2
1,2,3,4,5,1,2,3,4,5,0.18312,0.32764,2.19,2.5173,6.6318,0.14529,0.3562,2.2808,2.5854,6.7233,1
1,2,3,4,5,1,2,3,4,5,0.18339,0.4508,0.58546,0.96116,1.1174,0.19577,0.32043,0.44948,0.9136,1.0343,1
1,2,3,4,5,1,2,3,4,5,0.18345,0.61759,0.85563,1.8199,2.7576,0.30535,0.64987,0.71959,1.6274,2.5449,2
1,2,3,4,5,1,2,3,4,5,0.18383,1.0147,1.2649,3.2547,13.045,0.52713,0.71251,1.3331,3.0901,13.052,1
1,2,3,4,5,1,2,3,4,5,0.18406,0.42693,0.59844,3.4543,24.509,0.5999,0.62382,0.77677,3.6959,24.925,1
1,2,3,4,5,1,2,3,4,5,0.18475,0.62482,0.80634,0.92757,0.96607,0.14055,0.59095,0.77948,0.92279,0.94666,1
1,2,3,4,5,1,2,3,4,5,0.18526,0.59314,1.2836,2.1733,4.4855,0.25444,0.53953,1.2095,2.0865,4.3797,2
1,2,3,4,5,1,2,3,4,5,0.18536,0.30966,1.1905,5.7288,7.9192,0.37539,0.43943,1.1544,5.6986,7.9759,1
1,2,3,4,5,1,2,3,4,5,0.18578,0.8919,1.1254,3.547,17.336,0.27798,0.93265,1.1994,3.5612,17.327,1
1,2,3,4,5,1,2,3,4,5,0.18625,0.75544,0.8496,1.1935,1.5654,0.36496,0.6979,0.89903,1.3637,1.6623,1
1,2,3,4,5,1,2,3,4,5,0.18628,0.67609,1.1047,1.7468,2.1485,0.34904,0.59474,1.0137,1.5812,1.9544,1
1,2,3,4,5,1,2,3,4,5,0.18726,0.42261,1.385,2.1038,4.8488,0.24948,0.4289,1.3407,2.0504,4.8721,1
1,2,3,4,5,1,2,3,4,5,0.18745,0.19757,0.21063,0.34885,0.45624,0.23722,0.29442,0.34581,0.38265,0.50466,2
1,2,3,4,5,1,2,3,4,5,0.18786,0.60879,0.90381,2.8582,6.3752,0.19497,0.6518,0.99103,2.9717,6.5589,2
1,2,3,4,5,1,2,3,4,5,0.18799,0.39636,0.87081,1.194,2.256,0.43955,0.44661,0.75201,1.145,1.989,1
1,2,3,4,5,1,2,3,4,5,0.18854,0.48273,1.4674,3.791,3.8747,0.34,0.56151,1.521,3.7889,3.9119,1
1,2,3,4,5,1,2,3,4,5,0.18854,0.5438,0.71221,0.9025,1.3968,0.20795,0.40172,0.68036,0.76826,1.3157,2
1,2,3,4,5,1,2,3,4,5,0.18856,0.30446,1.0616,1.3207,18.555,0.40306,0.44332,0.88741,1.1774,18.375,2
1,2,3,4,5,1,2,3,4,5,0.18878,0.52764,0.79026,1.5267,5.1735,0.16067,0.53427,0.7913,1.6808,5.1405,3
1,2,3,4,5,1,2,3,4,5,0.189,0.20693,0.74928,0.88497,1.3819,0.46594,0.54062,0.82354,1.0443,1.3761,1
1,2,3,4,5,1,2,3,4,5,0.18968,0.19366,0.32766,0.70133,0.95174,0.29466,0.31338,0.37754,0.6592,0.9806,2
1,2,3,4,5,1,2,3,4,5,0.18974,0.24484,0.30855,0.45645,1.6803,0.15958,0.27002,0.29527,0.4736,1.705,3
1,2,3,4,5,1,2,3,4,5,0.18982,0.50205,1.0863,1.6783,2.1748,0.16085,0.48777,1.075,1.6744,2.1968,2
1,2,3,4,5,1,2,3,4,5,0.19047,0.56311,0.74361,2.1936,6.0692,0.29915,0.80207,0.85923,2.1868,6.0489,1
1,2,3,4,5,1,2,3,4,5,0.19062,0.8778,1.1761,1.3203,2.6239,0.26616,0.7782,1.0552,1.266,2.4477,1
1,2,3,4,5,1,2,3,4,5,0.19065,0.39749,0.47724,1.3323,1.5134,0.19888,0.46778,0.54525,1.3301,1.4777,1
1,2,3,4,5,1,2,3,4,5,0.19085,0.28864,1.2237,4.0826,5.7893,0.25759,0.34008,1.2182,4.1164,5.7395,1
1,2,3,4,5,1,2,3,4,5,0.19126,0.6125,0.99162,1.1266,1.3425,0.60462,0.78191,0.88652,1.0481,1.2201,2
1,2,3,4,5,1,2,3,4,5,0.19151,0.32587,0.60534,1.3283,14.548,0.14355,0.34358,0.49414,1.2796,14.428,1
1,2,3,4,5,1,2,3,4,5,0.19197,0.44226,0.63873,1.0795,1.0845,0.15928,0.52085,0.7125,1.0507,1.1259,1
1,2,3,4,5,1,2,3,4,5,0.19222,0.23614,2.1726,4.3775,5.5225,0.23001,0.23576,2.1521,4.296,5.3604,2
1,2,3,4,5,1,2,3,4,5,0.19228,0.58363,0.90363,1.5426,1.7053,0.5138,0.6141,0.74598,1.3078,1.7445,1
1,2,3,4,5,1,2,3,4,5,0.19261,0.32285,1.6452,1.9264,4.33,0.23859,0.31364,1.5692,1.8034,4.3085,2
1,2,3,4,5,1,2,3,4,5,0.19268,0.25065,0.42847,0.44627,1.5077,0.93077,0.94132,1.1973,1.2322,1.5643,5
1,2,3,4,5,1,2,3,4,5,0.19289,0.43551,0.5458,1.7407,22.07,0.90021,1.0532,1.113,2.1994,22.829,1
1,2,3,4,5,1,2,3,4,5,0.19368,0.3586,1.4941,1.6029,1.6226,0.35239,0.38952,1.4683,1.6057,1.7005,2
1,2,3,4,5,1,2,3,4,5,0.19388,0.44073,0.77977,1.0545,3.1208,0.49833,0.50908,0.59671,1.3585,3.1764,3
1,2,3,4,5,1,2,3,4,5,0.19391,1.2221,1.7262,1.821,13.299,1.3513,1.5333,2.0495,2.1109,13.24,1
1,2,3,4,5,1,2,3,4,5,0.1945,0.27502,0.64988,4.9288,16.448,0.3572,0.3964,0.55609,4.7684,16.359,2
1,2,3,4,5,1,2,3,4,5,0.19459,1.5155,1.628,2.3915,3.0023,0.23524,1.5594,1.612,2.4712,2.9738,4
1,2,3,4,5,1,2,3,4,5,0.19479,0.507,1.0918,1.3232,1.6732,0.24833,0.54319,1.1135,1.3343,1.6088,1
1,2,3,4,5,1,2,3,4,5,0.19605,0.47572,1.4059,1.568,4.8898,0.21582,0.36217,1.3369,1.4919,4.803,2
1,2,3,4,5,1,2,3,4,5,0.19614,0.48943,1.5584,1.9905,24.587,0.27778,0.51973,1.4982,2.0117,24.559,2
1,2,3,4,5,1,2,3,4,5,0.19661,0.35469,0.60987,0.64068,1.7212,0.23362,0.36222,0.50122,0.61032,1.7934,1
1,2,3,4,5,1,2,3,4,5,0.19686,0.47492,1.8976,3.5221,4.9173,1.4053,1.4321,1.7524,3.8192,5.0692,2
1,2,3,4,5,1,2,3,4,5,0.1969,0.48183,0.75211,0.76924,1.3015,0.2091,0.56657,0.79258,0.82839,1.245,1
1,2,3,4,5,1,2,3,4,5,0.19728,0.21144,0.73573,1.0706,1.7259,0.27306,0.28811,0.80231,0.96984,1.7609,1
1,2,3,4,5,1,2,3,4,5,0.19814,0.36944,0.41195,0.73538,0.84905,0.30533,0.32349,0.33767,0.58618,0.71315,2
1,2,3,4,5,1,2,3,4,5,0.19834,0.23079,0.2609,0.76524,0.95486,0.5594,0.68408,0.72803,0.96126,0.98256,5
1,2,3,4,5,1,2,3,4,5,0.19844,0.20569,1.0481,1.2518,1.3307,0.32532,0.39811,0.91589,1.1349,1.3354,2
1,2,3,4,5,1,2,3,4,5,0.19939,1.1173,3.9156,5.1168,7.8859,1.7449,2.2239,2.3595,3.6176,7.3134,2
1,2,3,4,5,1,2,3,4,5,0.19964,0.31177,0.71733,0.81008,1.6847,0.26042,0.34228,0.76462,0.86012,1.7463,1
1,2,3,4,5,1,2,3,4,5,0.20021,0.34363,0.63189,0.76675,1.0191,0.15161,0.38038,0.68723,0.73203,1.0232,1
1,2,3,4,5,1,2,3,4,5,0.20045,1.1801,1.5706,3.0557,8.1085,0.2198,1.0676,1.4858,2.985,8.0858,1
1,2,3,4,5,1,2,3,4,5,0.20046,0.47593,0.48782,3.5521,13.105,0.24888,0.42452,0.51968,3.4852,13.074,1
1,2,3,4,5,1,2,3,4,5,0.20062,0.38775,1.353,2.2914,39.38,0.25167,0.3833,1.3204,2.1831,39.226,2
