age,workclass,fnlwgt,education,educationNum,maritalStatus,occupation,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,nativeCountry,label
38,Private,374524,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
55,Private,200453,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,-1
38,Private,66326,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,-1
22,Private,200973,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,12,United-States,-1
51,Self-emp-not-inc,136322,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1579,40,United-States,-1
34,Private,209900,10th,6,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,-1
26,Private,103700,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,-1
35,Federal-gov,245372,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,-1
73,Private,349347,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,25,United-States,-1
49,Private,96854,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,40,United-States,-1
38,Local-gov,339442,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,-1
29,Private,49087,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,-1
33,Self-emp-not-inc,398874,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,-1
53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,-1
34,Private,538243,Some-college,10,Separated,Tech-support,Unmarried,Black,Female,0,0,40,United-States,-1
61,Private,298400,Bachelors,13,Divorced,Sales,Not-in-family,Black,Male,4787,0,48,United-States,1
47,Private,345493,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,55,Taiwan,1
27,Private,155057,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
32,Private,347112,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,-1
31,Private,88231,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,-1
20,Private,419984,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,25,United-States,-1
31,State-gov,203572,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,-1
39,Local-gov,30269,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,44,United-States,1
19,State-gov,127085,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States,-1
58,Private,172238,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,-1
23,Private,199419,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,-1
58,Private,197114,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1
25,Private,410240,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,-1
49,Private,144514,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1887,45,United-States,1
19,Private,552354,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,-1
38,Private,136137,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,50,United-States,1
29,Private,37359,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,United-States,1
48,Private,135525,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,-1
26,Self-emp-not-inc,177858,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,1876,38,United-States,-1
23,Private,316793,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,35,United-States,-1
39,Private,121590,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,4787,0,40,United-States,1
41,Private,373403,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
60,Private,241013,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,-1
29,Private,177955,9th,5,Never-married,Priv-house-serv,Unmarried,White,Female,0,0,24,El-Salvador,-1
35,Private,337286,Masters,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,-1
23,Private,278390,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,-1
25,Private,195994,1st-4th,2,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,Guatemala,-1
67,Self-emp-not-inc,141797,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,-1
34,Private,176711,HS-grad,9,Divorced,Other-service,Own-child,White,Male,0,0,40,United-States,-1
63,Federal-gov,39181,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,1
43,Private,174051,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,-1
27,Private,191515,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,-1
36,Private,114055,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,White,Female,3325,0,40,United-States,-1
19,Private,182355,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,-1
41,Self-emp-not-inc,150533,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
42,Private,328239,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,-1
33,Private,76107,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,60,United-States,1
40,Private,111483,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
38,State-gov,312528,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,United-States,-1
30,Private,287986,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,-1
23,Private,86939,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,-1
52,Federal-gov,38973,Bachelors,13,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,-1
41,Local-gov,248406,HS-grad,9,Separated,Transport-moving,Own-child,White,Male,0,0,40,United-States,-1
46,Private,122026,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,1
58,Private,265579,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,-1
29,State-gov,183285,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,36,United-States,-1
24,Private,279041,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,-1
28,Private,87239,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,-1
45,Private,96100,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,-1
45,Federal-gov,358242,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
57,Private,41680,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,United-States,-1
32,Private,53206,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,1
46,Federal-gov,102308,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,1
33,Federal-gov,37546,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
43,Private,85995,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,-1
18,Private,175752,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,-1
20,Private,161962,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,16,United-States,-1
24,Private,111445,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,-1
34,Private,203488,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,-1
18,Private,156950,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,35,United-States,-1
27,Private,200641,10th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Mexico,-1
29,Private,53181,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
20,Private,54152,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,,-1
36,Local-gov,331902,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,-1
71,State-gov,210673,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,28,United-States,-1
35,Private,30381,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,1
29,Private,142519,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,-1
34,Private,196164,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,-1
19,Private,219300,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,-1
43,Private,293176,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
60,Private,140544,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,-1
23,Private,182117,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,-1
37,State-gov,26898,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,-1
53,Local-gov,175897,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1
18,Private,577521,11th,7,Never-married,Sales,Own-child,White,Male,0,0,13,United-States,-1
58,Self-emp-inc,190763,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
23,Private,180475,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,-1
53,Private,152810,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
18,Private,397606,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,-1
32,Private,112176,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,30,United-States,-1
33,Private,318982,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
43,State-gov,206927,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,-1
39,Self-emp-not-inc,185366,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,1
42,Private,143342,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,-1
29,Private,100219,Assoc-acdm,12,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,45,United-States,-1
42,Federal-gov,52781,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,1
62,Private,26966,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,-1
49,Private,151267,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,-1
45,Private,209912,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,India,1
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,-1
39,Private,108419,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1
22,Private,243842,9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,-1
40,Private,108945,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,32,United-States,-1
51,Private,29887,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,44,United-States,-1
54,Local-gov,129972,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,38,United-States,1
19,Private,124906,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,25,United-States,-1
32,Private,159187,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,-1
37,Private,201259,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,-1
30,Private,149368,HS-grad,9,Divorced,Sales,Unmarried,White,Male,1151,0,30,United-States,-1
55,Private,84774,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,30,United-States,-1
59,Private,192845,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
56,Private,442116,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,54,United-States,1
44,Private,186916,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1887,60,United-States,1
40,Private,51290,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
24,State-gov,191269,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,65,United-States,-1
40,Private,337456,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Female,0,0,40,United-States,-1
47,Self-emp-not-inc,190072,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Iran,1
35,Private,226789,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States,-1
24,Private,109456,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,25,United-States,-1
27,Local-gov,162973,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,56,United-States,-1
21,Private,73679,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,-1
40,Private,244172,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,-1
36,Private,199217,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Mexico,-1
52,Private,180195,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
35,Private,187167,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,35,United-States,-1
45,Private,339506,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,-1
41,Private,155657,11th,7,Never-married,Handlers-cleaners,Other-relative,Black,Female,0,0,40,United-States,-1
30,Self-emp-not-inc,173854,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,-1
20,Private,70708,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,-1
38,Private,396595,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
31,State-gov,111843,Assoc-acdm,12,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,-1
61,Private,43904,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,-1
23,Private,113511,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,-1
49,Private,172246,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,-1
43,Private,180138,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,1
28,Private,137898,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,-1
42,Private,187702,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,-1
36,Private,69251,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,40,Philippines,-1
39,Private,317434,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1
59,Self-emp-inc,146477,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
40,State-gov,390781,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,48,United-States,-1
59,Private,109567,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,-1
23,Private,91189,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,-1
35,Private,150057,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,48,United-States,-1
47,Private,71221,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,60,United-States,-1
37,Private,95654,10th,6,Divorced,Exec-managerial,Unmarried,White,Female,0,0,35,United-States,-1
44,Private,288433,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,-1
44,Private,95255,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,-1
45,Private,48495,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,1
58,Self-emp-not-inc,96609,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,-1
49,Private,153536,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,14084,0,44,United-States,1
51,Private,154342,7th-8th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,-1
40,Private,360884,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,40,United-States,1
29,Private,228075,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,35,Mexico,-1
45,Local-gov,37306,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
45,Private,223999,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,1848,40,United-States,1
52,Private,112959,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,-1
46,State-gov,265554,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,-1
62,Private,370881,Assoc-acdm,12,Widowed,Other-service,Not-in-family,White,Female,0,0,7,United-States,-1
47,Private,418961,Assoc-voc,11,Divorced,Sales,Unmarried,Black,Female,0,0,25,United-States,-1
42,Private,33155,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,85,United-States,-1
53,Private,137192,Bachelors,13,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0,50,United-States,-1
36,Private,213277,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,-1
66,Self-emp-not-inc,67765,11th,7,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,84,United-States,1
58,Private,275859,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Male,8614,0,52,Mexico,1
19,Private,56750,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,-1
32,Private,227931,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,-1
49,Local-gov,31267,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,-1
